5.	-0.0000775034
5.1	-0.0000745169
5.2	-0.0000716985
5.3	-0.000069036
5.4	-0.0000665182
5.5	-0.0000641347
5.6	-0.0000618762
5.7	-0.0000597344
5.8	-0.0000577012
5.9	-0.0000557696
6.	-0.0000539329
6.1	-0.0000521863
6.2	-0.0000505228
6.3	-0.0000489373
6.4	-0.0000474251
6.5	-0.0000459816
6.6	-0.0000446029
6.7	-0.000043285
6.8	-0.0000420246
6.9	-0.0000408182
7.	-0.000039663
7.1	-0.0000385562
7.2	-0.000037495
7.3	-0.0000364769
7.4	-0.0000354997
7.5	-0.0000345611
7.6	-0.0000336592
7.7	-0.0000327921
7.8	-0.000031958
7.9	-0.0000311553
8.	-0.0000303824
8.1	-0.000029638
8.2	-0.0000289205
8.3	-0.0000282288
8.4	-0.0000275615
8.5	-0.0000269176
8.6	-0.000026296
8.7	-0.0000256957
8.8	-0.0000251156
8.9	-0.000024555
9.	-0.0000240129
9.1	-0.0000234885
9.2	-0.0000229812
9.3	-0.00002249
9.4	-0.0000220145
9.5	-0.0000215538
9.6	-0.0000211075
9.7	-0.0000206749
9.8	-0.0000202554
9.9	-0.0000198485
10.	-0.0000194538
10.1	-0.0000190717
10.2	-0.0000187006
10.3	-0.0000183401
10.4	-0.0000179897
10.5	-0.0000176491
10.6	-0.0000173179
10.7	-0.0000169957
10.8	-0.0000166821
10.9	-0.0000163768
11.	-0.0000160793
11.1	-0.0000157861
11.2	-0.0000154982
11.3	-0.0000152151
11.4	-0.0000149365
11.5	-0.0000146622
11.6	-0.0000143922
11.7	-0.0000141268
11.8	-0.0000138664
11.9	-0.0000136117
12.	-0.0000133635
12.1	-0.000013138
12.2	-0.0000129208
12.3	-0.0000127113
12.4	-0.000012509
12.5	-0.0000123134
12.6	-0.0000121238
12.7	-0.0000119396
12.8	-0.0000117605
12.9	-0.0000115858
13.	-0.0000114152
13.1	-0.000011244
13.2	-0.0000110765
13.3	-0.0000109127
13.4	-0.0000107526
13.5	-0.0000105958
13.6	-0.0000104425
13.7	-0.0000102924
13.8	-0.0000101455
13.9	-0.0000100017
14.	-9.86093e-6
14.1	-9.72308e-6
14.2	-9.58809e-6
14.3	-9.45586e-6
14.4	-9.32632e-6
14.5	-9.19942e-6
14.6	-9.07506e-6
14.7	-8.95319e-6
14.8	-8.83375e-6
14.9	-8.71666e-6
15.	-8.60187e-6
15.1	-8.48934e-6
15.2	-8.37898e-6
15.3	-8.27074e-6
15.4	-8.16458e-6
